Bus No,Via
58,"gandhipark,vedapatti,thondamuthur,devarayapuram"
58A,"gandhipark,vedapatti,thondamuthur,devarayapuram"
59,"selvapuram,perur,mathampatti,aalandhurai,karunya,kovai kutralam"
59C,"selvapuram,perur,mathampatti,aalandhurai,kovai kutralam"
59B,"gandhipuram,selvapuram,perur,mathampatti,pooluvapatti"
59D,"railway station,selvapuram,perur,mathampatti,pooluvapatti"
59E,"railway station,selvapuram,perur,mathampatti,pooluvapatti"
61,"sowripalayam,puliakulam,sungam,gh,townhall,selvapuram"
62,"poomarket,new bus stand,kavundampalayam,thudiyalur,idikarai,kottaipalayam"
63,"gandhipuram,ganapathy,saravanampatti,kallukuzhi"
63A,"peelamedu,gandhipuram,ganapathi,saravanampatti"
63B,"gandhipuram,ganapathy,saravanampatti,kallukuzhi"
63C,"ganapathy,saravanampatti,visuvasapuram,keeranatham"
64,"railway station,gandhipark,vadavalli,thondamuthur"
64C,"railway station,gandhipark,vadavalli,thondamuthur,thenamanallur"
64B,"railway station,townhall,gandhipark,vadavalli"
64D,"railway station,gandhipark,vadavalli,thondamuthur"
64J,"townhall,gandhipark,vadavalli,thondamuthur,poluvampatti"
65,"railway station,ramanathapuram,singanallur,ondipudur"
65A,"lakshmi mills,hopes,ondipudur,pappampatti pirivu"
66,"railway station,townhall,ukkadam,sundarapuram"
66A,"railway station,townhall,ukkadam,sundarapuram"
67A,"madukarai market,madukarai,kovaipudhur,perur,ajjanur,vadavalli"
68,"lakshmi mills,peelamedu,varatharaja mills"
68A,"hopes,lakshmi mills,gandhipuram,new bus stand,thudiyalur"
74A,"lakshmi mills,peelamedu,varatharaja mills"
68B,"lakshmi mills,peelamedu,varatharaja mills"
68C,"esi hospital,hopes,vinoba nagar"
69,"ramanathapuram,singanallur,ondipudur,pattanam"
69A,"ramanathapuram,singanallur,ondipudur,pattanam,natupalayam,peedampalli"
69B,"lakshmi mills,peelamedu,hopes,singanallur,ondipudur,pattanam"
69C,"lakshmi mills,peelamedu,hopes,singanallur,ondipudur,pattanam"
69D,"lakshmi mills,peelamedu,hopes,singanallur,ondipudur,pattanam"
70,"sivanandhacolony,agri college,p.n.pudhur,vadavalli,bharathiar university"
70A,"vadavalli,annanagar,idayarpalayam,saibaba colony,gandhipuram,ramakrishna hospital"
70B,"vadavalli,annanagar,idayarpalayam,saibaba colony,gandhipuram,ramakrishna hospital"
70C,"vadavalli,saibaba colony,gandhipuram,lakshmi mills,peelamedu"
70D,"vadavalli,idayarpalayam,kavundampalayam,sanganur,ganapathy"
84C,"railway station,ukkadam,aathupalam,eachanari,sundarapuram"
71C,"railway station,ukkadam,aathupalam,eachanari,sundarapuram"
71A,"sundarapuram,ukkadam,railway station,gandhipuram,saibaba colony"
72,"singanallur,hopes,sitra,chinniyampalayam,nilambur"
72A,"townhall,lakshmi mills,hopes,sitra,chinniyampalayam,nilambur"
73,"railway station,townhall,ukkadam,eachari,sundharapuram"
73A,"railway station,ukkadam,pothanur,chettipalayam,samathuvapuram,kalaignar nagar"
73B,"railway station,townhall,ukkadam,eachari,sundharapuram"
73D,"railway station,townhall,ukkadam,pothanur,chettipalayam"
74,"lakshmi mills,peelamedu,hopes,singanallur,vellalore"
75,"townhall,gh,ramanathapuram,singanallur,ondipudur"
76,"vadavalli,p.n.pudhur,saibaba colony,gandhipuram,ganapathy"
77,"ramanathapuram,singanallur,ondipudur,pappampatti pirivu,pappampatti"
77A,"ramanathapuram,singanallur,ondipudur,pappampatti,idayarpalayam"
77B,"ramanathapuram,singanallur,ondipudur,pappampatti,sithanaicken palayam"
78,"townhall,saibaba colony,velandipalayam,idayar palayam,kanuvai"
80,"singanallur,lakshmi mills,gandhipuram,railway station,ukkadam"
81,"ganapathy,saravanampatti,kurumba palayam,kovil palayam"
82B,"ganapathy,saravanampatti,kurumba palayam,kovil palayam"
81A,"ganapathy,saravanampatti,kurumba palayam,kovil palayam"
82,"railway station,gandhipuram,ganapathy,saravanampatti,kovilpalayam,ganeshapuram"
83A,"thudiyalur,gandhipuram,lakshmi mills,peelamedu,hopes,sitra"
84,"railway station,ukkadam,sundarapuram,eachanari"
84A,"railway station,ukkadam,sundarapuram,eachanari"
84B,"railway station,ukkadam,sundarapuram,eachanari"
84C,"railway station,ukkadam,sundarapuram,eachanari"
84D,"gandhipuram,railway station,ukkadam,sundarapuram,eachanari"
84E,"gandhipuram,railway station,ukkadam,sundarapuram,eachanari"
86,"singanallur,ramanathapuram,townhall,gandhipuram,ganapathy,maniyakarampalayam"
86A,"railway station,ganapathy,saravanampatti,kurumba palayam,kovil palayam"
86B,"railway station,ganapathy,maniyakaram palayam,chinnavedampatti"
87,"tvs,kavundampalayam,thudiyalur,nggo colony,idikarai"
88,"gandhipuram,lakshmi mills,peelamedu,hopecollege,singanallur,ondipudur"
89B,"poomarket,goundampalayam,thudiyalur,peria naicken palayam"
90,"railway station,peelamedu,hopes,sitra,kmch,neelambur"
90A,"railway station,peelamedu,sitra,chinniyampalayam,kaniyur,karumathampatti"
90B,"railway station,peelamedu,sitra,chinniyampalayam,kaniyur,unjapalayam"
91,"railway station,townhall,selvapuram,perur,chundakamputhur"
92,"vadavalli,p.n.pudhur,saibaba colony,gandhipuram,lakshmi mills,peelamedu"
93,"lakshmi mills,peelamedu,sitra,kmch,chinniyampalayam,kodissia"
93A,"lakshmi mills,peelamedu,sitra,kmch,chinniyampalayam,kodissia,irugur"
94,"railway station,gandhipark,veerakeralam,vedapatti,chundapalayam"
94B,"railway station,gandhipark,veerakeralam,vedapatti,chundapalayam"
94C,"railway station,gandhipark,veerakeralam,vedapatti,chundapalayam"
94D,"railway station,gandhipark,veerakeralam,vedapatti,chundapalayam"
95,"lakshmi mills,puliakulam,uppilipalayam,sowripalayam"
95A,"lakshmi mills,puliakulam,uppilipalayam,sowripalayam"
95B,"lakshmi mills,puliakulam,uppilipalayam,sowripalayam,singanallur,ondipudur"
95D,"lakshmi mills,puliakulam,uppilipalayam,sowripalayam,singanallur,pattanam"
96,"railway station,ukkadam,aathupalam,kuniamuthur,kg.chavadi"
97,"railway station,gandhipuram,ganapathy,udayampalayam,thudiyalur,pannimadai"
98,"railway station,gandhipuram,ganapathy,saravanampatti,kovilpalayam"
